,plantheight,plantwidth,phvalue,temp,humid,moist,growth,possible,light
41,110,37,10,24,61,44,2.972972972972973,1,6936
42,95,35,10,29,103,14,2.7142857142857144,1,8381
43,71,26,6,23,104,38,2.730769230769231,1,6647
44,77,19,4,35,58,32,4.052631578947368,1,10115
45,88,26,5,21,110,44,3.3846153846153846,1,6069
46,63,36,6,35,64,23,1.75,0,10115
47,113,18,8,21,84,32,6.277777777777778,1,6069
48,101,15,4,38,83,12,6.733333333333333,1,10982
49,106,37,4,30,102,22,2.864864864864865,1,8670
50,87,19,3,22,98,29,4.578947368421052,1,6358
51,104,24,7,22,40,36,4.333333333333333,1,6358
52,60,35,5,33,90,43,1.7142857142857142,0,9537
53,50,37,4,29,66,32,1.3513513513513513,0,8381
54,92,22,3,39,107,38,4.181818181818182,1,11271
55,26,15,4,39,80,31,1.7333333333333334,0,11271
56,107,37,10,18,40,11,2.891891891891892,1,5202
57,80,14,8,35,64,32,5.714285714285714,1,10115
58,47,29,3,31,106,41,1.6206896551724137,0,8959
59,63,32,9,37,61,25,1.96875,0,10693
60,56,19,4,28,77,33,2.9473684210526314,1,8092
61,51,22,9,20,97,44,2.3181818181818183,1,5780
62,68,14,4,36,101,43,4.857142857142857,1,10404
63,67,37,3,19,71,27,1.8108108108108107,0,5491
64,69,35,6,19,93,26,1.9714285714285715,0,5491
65,36,23,9,19,72,41,1.565217391304348,0,5491
66,22,30,5,35,58,15,0.7333333333333333,0,10115
67,95,30,6,21,70,43,3.1666666666666665,1,6069
68,96,39,4,19,77,26,2.4615384615384617,1,5491
69,73,22,6,34,92,26,3.3181818181818183,1,9826
70,34,21,8,18,110,23,1.619047619047619,0,5202
71,57,21,7,19,45,33,2.7142857142857144,1,5491
72,68,39,7,40,99,36,1.7435897435897436,0,11560
73,19,26,10,24,60,40,0.7307692307692307,0,6936
74,94,24,4,40,60,22,3.9166666666666665,1,11560
75,18,17,8,23,59,13,1.0588235294117647,0,6647
76,62,30,9,28,71,42,2.066666666666667,1,8092
77,51,23,4,35,79,42,2.217391304347826,1,10115
78,31,40,4,33,48,37,0.775,0,9537
79,97,39,6,30,42,18,2.4871794871794872,1,8670
80,46,34,5,22,69,26,1.3529411764705883,0,6358
81,89,27,5,22,97,40,3.2962962962962963,1,6358
82,105,33,8,38,50,29,3.1818181818181817,1,10982
83,34,37,5,31,43,14,0.918918918918919,0,8959
84,26,28,6,31,57,39,0.9285714285714286,0,8959
85,68,30,6,21,47,10,2.2666666666666666,1,6069
86,109,18,3,32,109,39,6.055555555555555,1,9248
87,84,14,10,17,99,33,6.0,1,4913
88,119,36,4,29,103,31,3.3055555555555554,1,8381
89,106,39,8,26,41,17,2.717948717948718,1,7514
90,78,22,7,26,55,18,3.5454545454545454,1,7514
91,45,28,9,30,95,40,1.6071428571428572,0,8670
92,45,18,5,27,106,44,2.5,1,7803
93,66,24,7,36,42,35,2.75,1,10404
94,113,19,10,17,97,16,5.947368421052632,1,4913
95,22,31,6,36,101,39,0.7096774193548387,0,10404
96,68,30,7,19,106,11,2.2666666666666666,1,5491
97,85,27,3,37,79,41,3.1481481481481484,1,10693
98,99,40,6,29,85,23,2.475,1,8381
99,91,18,4,32,88,24,5.055555555555555,1,9248
100,45,17,5,29,73,22,2.6470588235294117,1,8381
101,30,28,4,39,54,22,1.0714285714285714,0,11271
102,19,21,10,28,94,24,0.9047619047619048,0,8092
103,58,31,5,29,46,35,1.8709677419354838,0,8381
104,51,39,10,31,46,31,1.3076923076923077,0,8959
105,35,33,3,40,110,32,1.0606060606060606,0,11560
106,54,20,6,37,54,37,2.7,1,10693
107,68,14,8,28,83,24,4.857142857142857,1,8092
108,30,32,5,31,77,20,0.9375,0,8959
109,18,28,10,33,43,23,0.6428571428571429,0,9537
110,90,26,8,31,79,14,3.4615384615384617,1,8959
111,72,39,7,27,97,29,1.8461538461538463,0,7803
112,15,29,7,35,47,30,0.5172413793103449,0,10115
113,22,14,6,25,42,22,1.5714285714285714,0,7225
114,34,16,4,33,98,41,2.125,1,9537
115,85,14,10,27,87,30,6.071428571428571,1,7803
116,93,31,7,27,88,43,3.0,1,7803
117,73,33,4,34,51,34,2.212121212121212,1,9826
118,71,25,6,35,82,31,2.84,1,10115
119,26,17,8,37,97,25,1.5294117647058822,0,10693
120,85,35,6,29,49,13,2.4285714285714284,1,8381
121,99,23,8,38,65,41,4.304347826086956,1,10982
122,88,16,8,40,88,13,5.5,1,11560
123,52,20,4,37,46,10,2.6,1,10693
124,120,39,9,37,108,11,3.076923076923077,1,10693
125,40,28,9,22,107,15,1.4285714285714286,0,6358
126,67,14,9,27,54,16,4.785714285714286,1,7803
127,15,37,6,28,110,20,0.40540540540540543,0,8092
128,48,40,4,22,96,23,1.2,0,6358
129,93,37,4,22,98,37,2.5135135135135136,1,6358
130,48,14,9,33,43,29,3.4285714285714284,1,9537
131,110,38,4,19,65,34,2.8947368421052633,1,5491
132,51,32,8,18,54,34,1.59375,0,5202
133,38,25,5,20,81,10,1.52,0,5780
134,23,24,5,31,57,34,0.9583333333333334,0,8959
135,93,33,3,40,73,33,2.8181818181818183,1,11560
136,41,17,4,37,88,13,2.411764705882353,1,10693
137,77,37,6,38,94,27,2.081081081081081,1,10982
138,65,31,6,28,49,26,2.096774193548387,1,8092
139,118,39,3,30,53,14,3.0256410256410255,1,8670
140,97,31,9,27,43,13,3.129032258064516,1,7803
141,58,34,9,26,69,10,1.7058823529411764,0,7514
142,83,29,6,20,109,40,2.8620689655172415,1,5780
143,72,29,7,25,95,34,2.4827586206896552,1,7225
144,53,14,3,17,106,29,3.7857142857142856,1,4913
145,118,37,6,21,106,40,3.189189189189189,1,6069
146,34,21,3,33,93,31,1.619047619047619,0,9537
147,111,26,3,31,90,42,4.269230769230769,1,8959
148,106,28,9,34,87,32,3.7857142857142856,1,9826
149,76,39,8,18,76,31,1.9487179487179487,0,5202
150,22,19,9,25,45,18,1.1578947368421053,0,7225
151,37,39,3,33,42,38,0.9487179487179487,0,9537
152,82,14,10,27,61,13,5.857142857142857,1,7803
153,51,26,10,37,95,20,1.9615384615384615,0,10693
154,98,20,8,28,71,42,4.9,1,8092
155,45,22,7,28,110,22,2.0454545454545454,1,8092
156,32,35,8,36,66,32,0.9142857142857143,0,10404
157,50,34,8,40,87,45,1.4705882352941178,0,11560
158,83,31,8,19,85,28,2.6774193548387095,1,5491
159,89,23,4,25,102,26,3.869565217391304,1,7225
160,114,35,4,24,108,44,3.257142857142857,1,6936
161,116,40,5,34,95,43,2.9,1,9826
162,18,27,4,37,99,17,0.6666666666666666,0,10693
163,91,26,9,30,86,32,3.5,1,8670
164,119,34,4,28,54,27,3.5,1,8092
165,28,23,8,25,86,40,1.2173913043478262,0,7225
166,115,38,4,21,91,33,3.026315789473684,1,6069
167,32,16,9,17,70,28,2.0,0,4913
168,102,22,5,20,71,16,4.636363636363637,1,5780
169,93,33,4,19,102,34,2.8181818181818183,1,5491
170,91,16,8,33,85,39,5.6875,1,9537
171,87,26,10,39,61,26,3.3461538461538463,1,11271
172,77,19,4,27,82,44,4.052631578947368,1,7803
173,25,21,6,24,56,29,1.1904761904761905,0,6936
174,38,34,7,23,61,24,1.1176470588235294,0,6647
175,21,24,6,22,41,23,0.875,0,6358
176,107,33,6,37,96,30,3.242424242424242,1,10693
177,86,33,4,23,77,39,2.606060606060606,1,6647
178,52,23,9,33,84,35,2.260869565217391,1,9537
179,37,26,3,24,96,42,1.4230769230769231,0,6936
180,51,37,7,30,67,27,1.3783783783783783,0,8670
181,53,17,7,34,90,27,3.1176470588235294,1,9826
182,34,18,7,31,76,28,1.8888888888888888,0,8959
183,44,33,3,39,83,24,1.3333333333333333,0,11271
184,50,38,3,19,94,39,1.3157894736842106,0,5491
185,90,28,4,29,93,39,3.2142857142857144,1,8381
186,80,19,7,26,41,33,4.2105263157894735,1,7514
187,74,36,9,21,40,27,2.0555555555555554,1,6069
188,23,37,6,39,68,40,0.6216216216216216,0,11271
189,63,28,3,39,85,13,2.25,1,11271
190,91,19,5,38,75,17,4.7894736842105265,1,10982
191,20,20,10,39,92,36,1.0,0,11271
192,17,29,9,22,51,44,0.5862068965517241,0,6358
193,64,22,5,30,65,21,2.909090909090909,1,8670
194,21,30,7,27,83,22,0.7,0,7803
195,16,15,8,36,108,18,1.0666666666666667,0,10404
196,55,31,7,40,94,21,1.7741935483870968,0,11560
197,85,40,9,38,83,45,2.125,1,10982
198,120,30,10,32,80,22,4.0,1,9248
199,58,34,5,20,58,35,1.7058823529411764,0,5780
200,43,20,5,20,97,29,2.15,1,5780
201,53,22,9,35,101,17,2.409090909090909,1,10115
202,86,35,8,32,74,33,2.4571428571428573,1,9248
203,38,38,7,28,83,29,1.0,0,8092
204,19,15,10,19,92,44,1.2666666666666666,0,5491
205,72,16,7,38,59,37,4.5,1,10982
206,86,27,8,31,96,41,3.185185185185185,1,8959
207,33,25,7,29,96,16,1.32,0,8381
208,110,14,7,17,99,41,7.857142857142857,1,4913
209,115,35,9,38,62,16,3.2857142857142856,1,10982
210,33,26,7,31,65,16,1.2692307692307692,0,8959
211,25,25,10,30,80,13,1.0,0,8670
212,120,36,7,25,109,28,3.3333333333333335,1,7225
213,24,37,5,25,57,13,0.6486486486486487,0,7225
214,107,25,6,22,98,35,4.28,1,6358
215,15,25,4,23,78,23,0.6,0,6647
216,73,31,9,39,87,22,2.3548387096774195,1,11271
217,115,37,6,17,42,37,3.108108108108108,1,4913
218,78,31,10,32,85,24,2.5161290322580645,1,9248
219,80,20,5,27,47,16,4.0,1,7803
220,81,36,10,20,50,36,2.25,1,5780
221,29,39,6,32,104,40,0.7435897435897436,0,9248
222,16,38,10,38,79,41,0.42105263157894735,0,10982
223,115,31,3,26,80,21,3.7096774193548385,1,7514
224,61,27,10,22,101,42,2.259259259259259,1,6358
225,94,35,6,21,47,31,2.6857142857142855,1,6069
226,61,23,6,21,93,35,2.652173913043478,1,6069
227,38,27,5,33,75,23,1.4074074074074074,0,9537
228,61,20,7,30,83,38,3.05,1,8670
229,95,16,10,21,59,13,5.9375,1,6069
230,96,25,4,18,65,14,3.84,1,5202
231,24,15,8,34,67,12,1.6,0,9826
232,27,32,5,33,104,38,0.84375,0,9537
233,90,18,10,22,104,42,5.0,1,6358
234,99,16,3,35,52,33,6.1875,1,10115
235,95,34,8,33,69,28,2.7941176470588234,1,9537
236,76,30,6,35,93,22,2.533333333333333,1,10115
237,96,32,6,40,42,29,3.0,1,11560
238,79,18,9,38,95,28,4.388888888888889,1,10982
239,92,31,5,27,47,28,2.967741935483871,1,7803
240,83,35,9,17,72,42,2.3714285714285714,1,4913
241,111,32,10,28,108,31,3.46875,1,8092
242,62,23,6,27,99,12,2.6956521739130435,1,7803
243,51,38,9,36,87,15,1.3421052631578947,0,10404
244,43,18,7,20,75,29,2.388888888888889,1,5780
245,73,33,9,19,55,20,2.212121212121212,1,5491
246,38,37,6,25,70,21,1.027027027027027,0,7225
247,112,19,10,32,80,45,5.894736842105263,1,9248
248,82,19,9,20,66,12,4.315789473684211,1,5780
249,55,34,5,24,76,23,1.6176470588235294,0,6936
250,120,35,5,37,47,29,3.4285714285714284,1,10693
251,92,31,4,22,98,39,2.967741935483871,1,6358
252,56,22,7,19,89,42,2.5454545454545454,1,5491
253,118,23,10,30,92,30,5.130434782608695,1,8670
254,83,40,7,39,53,11,2.075,1,11271
255,29,36,8,23,74,14,0.8055555555555556,0,6647
256,32,37,7,39,77,14,0.8648648648648649,0,11271
257,23,37,10,37,43,20,0.6216216216216216,0,10693
258,65,27,6,22,105,28,2.4074074074074074,1,6358
259,103,29,5,35,85,37,3.5517241379310347,1,10115
260,37,38,9,39,93,26,0.9736842105263158,0,11271
261,88,39,10,30,59,31,2.2564102564102564,1,8670
262,23,14,4,38,87,33,1.6428571428571428,0,10982
263,22,31,4,33,74,37,0.7096774193548387,0,9537
264,111,30,9,30,95,42,3.7,1,8670
265,56,40,4,37,75,15,1.4,0,10693
266,120,38,3,22,69,39,3.1578947368421053,1,6358
267,18,36,6,30,94,33,0.5,0,8670
268,78,36,6,23,63,37,2.1666666666666665,1,6647
269,76,30,7,32,101,25,2.533333333333333,1,9248
270,63,32,6,39,95,42,1.96875,0,11271
271,42,26,8,40,106,36,1.6153846153846154,0,11560
272,35,18,4,21,84,18,1.9444444444444444,0,6069
273,63,33,6,29,43,39,1.9090909090909092,0,8381
274,39,24,10,25,83,37,1.625,0,7225
275,40,14,3,20,50,39,2.857142857142857,1,5780
276,41,23,7,30,46,34,1.7826086956521738,0,8670
277,113,23,4,26,74,40,4.913043478260869,1,7514
278,47,31,6,21,41,31,1.5161290322580645,0,6069
279,54,15,8,36,56,31,3.6,1,10404
280,35,27,9,31,53,16,1.2962962962962963,0,8959
281,110,33,3,20,50,17,3.3333333333333335,1,5780
282,73,25,9,28,96,22,2.92,1,8092
283,28,37,9,32,87,32,0.7567567567567568,0,9248
284,88,33,3,32,74,33,2.6666666666666665,1,9248
285,79,31,9,26,57,27,2.5483870967741935,1,7514
286,81,36,3,20,106,15,2.25,1,5780
287,113,26,5,17,61,34,4.346153846153846,1,4913
288,81,28,7,24,52,24,2.892857142857143,1,6936
289,59,32,4,18,100,14,1.84375,0,5202
290,22,20,4,40,89,40,1.1,0,11560
291,34,36,10,32,52,43,0.9444444444444444,0,9248
292,54,24,8,26,54,35,2.25,1,7514
293,115,28,10,29,63,43,4.107142857142857,1,8381
294,99,17,6,17,53,19,5.823529411764706,1,4913
295,31,37,8,31,99,25,0.8378378378378378,0,8959
296,58,32,9,35,67,44,1.8125,0,10115
297,26,34,6,29,95,31,0.7647058823529411,0,8381
298,88,20,7,39,100,19,4.4,1,11271
299,20,23,6,31,55,24,0.8695652173913043,0,8959
300,73,22,4,37,75,28,3.3181818181818183,1,10693
301,97,17,6,40,68,28,5.705882352941177,1,11560
302,78,29,6,24,85,41,2.689655172413793,1,6936
303,48,35,9,17,110,36,1.3714285714285714,0,4913
304,87,32,10,22,50,42,2.71875,1,6358
305,65,34,7,18,82,15,1.911764705882353,0,5202
306,86,30,4,23,78,12,2.8666666666666667,1,6647
307,88,17,10,28,52,40,5.176470588235294,1,8092
308,51,31,4,18,97,39,1.6451612903225807,0,5202
309,45,36,5,34,67,24,1.25,0,9826
310,42,26,3,28,60,23,1.6153846153846154,0,8092
311,99,29,9,28,98,10,3.413793103448276,1,8092
312,91,25,7,25,62,31,3.64,1,7225
313,47,14,5,31,80,30,3.357142857142857,1,8959
314,87,34,6,30,89,12,2.5588235294117645,1,8670
315,66,20,8,32,74,30,3.3,1,9248
316,26,15,8,30,49,28,1.7333333333333334,0,8670
317,48,39,9,32,55,30,1.2307692307692308,0,9248
318,118,33,10,40,50,44,3.5757575757575757,1,11560
319,28,14,5,20,59,21,2.0,0,5780
320,114,16,8,17,55,24,7.125,1,4913
321,51,31,3,28,93,45,1.6451612903225807,0,8092
322,69,25,9,29,76,36,2.76,1,8381
323,27,38,7,25,101,45,0.7105263157894737,0,7225
324,87,20,6,23,96,10,4.35,1,6647
325,18,25,10,36,104,23,0.72,0,10404
326,54,39,10,37,97,37,1.3846153846153846,0,10693
327,119,40,6,31,108,41,2.975,1,8959
328,69,30,4,26,82,34,2.3,1,7514
329,108,19,5,28,57,35,5.684210526315789,1,8092
330,83,15,5,17,93,10,5.533333333333333,1,4913
331,46,37,4,30,47,34,1.2432432432432432,0,8670
332,64,32,6,40,63,26,2.0,0,11560
333,62,17,4,28,41,43,3.6470588235294117,1,8092
334,40,19,7,18,50,21,2.1052631578947367,1,5202
335,34,19,8,27,44,34,1.7894736842105263,0,7803
336,43,22,6,39,98,33,1.9545454545454546,0,11271
337,114,29,3,22,62,36,3.9310344827586206,1,6358
338,94,26,9,28,73,28,3.6153846153846154,1,8092
339,45,19,6,37,106,22,2.3684210526315788,1,10693
340,76,14,4,40,47,29,5.428571428571429,1,11560
341,46,31,9,39,79,36,1.4838709677419355,0,11271
342,108,30,3,33,77,38,3.6,1,9537
343,18,29,3,31,67,35,0.6206896551724138,0,8959
344,20,40,9,19,61,12,0.5,0,5491
345,55,39,9,20,94,32,1.4102564102564104,0,5780
346,27,17,8,20,81,38,1.588235294117647,0,5780
347,105,40,9,30,58,14,2.625,1,8670
348,96,34,7,34,99,20,2.823529411764706,1,9826
349,19,27,7,17,47,24,0.7037037037037037,0,4913
350,86,15,4,25,81,28,5.733333333333333,1,7225
351,28,33,5,23,47,21,0.8484848484848485,0,6647
352,102,35,7,28,78,23,2.914285714285714,1,8092
353,106,23,7,35,69,41,4.608695652173913,1,10115
354,68,38,3,27,40,11,1.7894736842105263,0,7803
355,22,18,3,32,78,16,1.2222222222222223,0,9248
356,55,27,5,26,103,13,2.037037037037037,1,7514
357,48,17,6,39,67,27,2.823529411764706,1,11271
358,54,18,10,17,57,26,3.0,1,4913
359,76,39,9,28,89,18,1.9487179487179487,0,8092
360,49,29,3,25,90,37,1.6896551724137931,0,7225
361,95,22,9,19,49,11,4.318181818181818,1,5491
362,50,18,4,32,46,41,2.7777777777777777,1,9248
363,116,33,10,19,73,41,3.515151515151515,1,5491
364,25,37,7,17,79,41,0.6756756756756757,0,4913
365,96,24,5,23,74,31,4.0,1,6647
366,90,15,5,19,45,40,6.0,1,5491
367,31,14,4,36,76,14,2.2142857142857144,1,10404
368,35,32,10,23,72,25,1.09375,0,6647
369,88,24,4,37,77,23,3.6666666666666665,1,10693
370,60,18,9,25,53,27,3.3333333333333335,1,7225
371,26,18,6,27,73,28,1.4444444444444444,0,7803
372,17,30,8,36,60,16,0.5666666666666667,0,10404
373,72,31,3,37,48,34,2.3225806451612905,1,10693
374,94,37,8,18,53,45,2.5405405405405403,1,5202
375,112,38,7,20,92,26,2.9473684210526314,1,5780
376,46,37,4,21,61,24,1.2432432432432432,0,6069
377,106,21,6,39,97,45,5.0476190476190474,1,11271
378,86,16,3,28,100,42,5.375,1,8092
379,91,20,10,24,99,18,4.55,1,6936
380,72,27,8,25,59,29,2.6666666666666665,1,7225
381,67,17,5,23,86,17,3.9411764705882355,1,6647
382,39,39,4,21,78,29,1.0,0,6069
383,117,29,7,34,78,22,4.0344827586206895,1,9826
384,77,15,3,31,58,26,5.133333333333334,1,8959
385,93,31,8,35,65,33,3.0,1,10115
386,30,24,10,32,67,37,1.25,0,9248
387,99,21,10,39,108,21,4.714285714285714,1,11271
388,84,29,6,25,73,23,2.896551724137931,1,7225
389,20,15,5,36,71,12,1.3333333333333333,0,10404
390,74,19,8,20,57,29,3.8947368421052633,1,5780
391,43,24,10,33,40,26,1.7916666666666667,0,9537
392,65,15,10,23,51,22,4.333333333333333,1,6647
393,93,24,6,27,78,29,3.875,1,7803
394,85,31,3,32,43,37,2.7419354838709675,1,9248
395,97,19,8,18,98,38,5.105263157894737,1,5202
396,112,14,6,25,75,13,8.0,1,7225
397,69,32,8,28,101,22,2.15625,1,8092
398,38,22,4,20,60,10,1.7272727272727273,0,5780
399,96,39,10,21,73,23,2.4615384615384617,1,6069
400,72,35,3,30,80,17,2.057142857142857,1,8670
401,34,35,5,28,80,11,0.9714285714285714,0,8092
402,78,31,7,28,95,37,2.5161290322580645,1,8092
403,41,27,5,19,64,45,1.5185185185185186,0,5491
404,27,19,8,28,78,34,1.4210526315789473,0,8092
405,50,21,10,21,55,43,2.380952380952381,1,6069
406,95,26,3,34,73,24,3.6538461538461537,1,9826
407,102,37,7,22,92,42,2.7567567567567566,1,6358
408,34,28,9,25,68,21,1.2142857142857142,0,7225
409,62,19,5,38,54,15,3.263157894736842,1,10982
410,73,40,8,18,86,34,1.825,0,5202
411,54,25,10,27,87,24,2.16,1,7803
412,94,35,4,23,64,24,2.6857142857142855,1,6647
413,103,23,5,21,42,30,4.478260869565218,1,6069
414,16,30,4,25,81,25,0.5333333333333333,0,7225
415,86,33,9,20,40,32,2.606060606060606,1,5780
416,29,28,10,34,107,12,1.0357142857142858,0,9826
417,71,17,9,35,82,25,4.176470588235294,1,10115
418,103,40,9,35,92,21,2.575,1,10115
419,22,15,10,20,95,39,1.4666666666666666,0,5780
420,118,20,10,19,74,16,5.9,1,5491
421,63,34,9,21,58,18,1.8529411764705883,0,6069
422,79,24,5,22,88,12,3.2916666666666665,1,6358
423,81,33,7,29,99,28,2.4545454545454546,1,8381
424,33,30,4,37,47,44,1.1,0,10693
425,97,35,9,30,67,13,2.7714285714285714,1,8670
426,47,34,6,17,57,24,1.3823529411764706,0,4913
427,103,39,6,22,70,24,2.641025641025641,1,6358
428,30,31,8,24,57,23,0.967741935483871,0,6936
429,27,31,10,21,45,20,0.8709677419354839,0,6069
430,24,16,3,26,79,45,1.5,0,7514
431,95,26,5,38,80,34,3.6538461538461537,1,10982
432,87,28,8,32,94,45,3.107142857142857,1,9248
433,52,36,9,26,110,26,1.4444444444444444,0,7514
434,29,15,9,30,107,36,1.9333333333333333,0,8670
435,63,14,9,30,48,41,4.5,1,8670
436,81,24,4,23,93,42,3.375,1,6647
437,41,37,10,21,110,21,1.1081081081081081,0,6069
438,37,15,8,34,79,39,2.466666666666667,1,9826
439,109,21,6,32,74,42,5.190476190476191,1,9248
440,91,22,4,34,81,33,4.136363636363637,1,9826
441,117,21,7,20,53,33,5.571428571428571,1,5780
442,99,33,6,39,45,45,3.0,1,11271
443,103,24,7,19,41,24,4.291666666666667,1,5491
444,53,39,10,28,73,30,1.358974358974359,0,8092
445,55,34,8,23,90,36,1.6176470588235294,0,6647
446,120,25,9,23,76,39,4.8,1,6647
447,110,31,9,40,109,23,3.5483870967741935,1,11560
448,46,40,9,22,48,15,1.15,0,6358
449,15,29,8,36,63,28,0.5172413793103449,0,10404
450,24,24,7,22,64,24,1.0,0,6358
451,85,23,3,19,105,18,3.6956521739130435,1,5491
452,52,23,5,22,65,35,2.260869565217391,1,6358
453,82,27,10,34,40,25,3.037037037037037,1,9826
454,110,15,9,36,53,36,7.333333333333333,1,10404
455,33,36,10,36,94,32,0.9166666666666666,0,10404
456,89,29,8,25,40,30,3.0689655172413794,1,7225
457,17,32,9,21,91,24,0.53125,0,6069
458,16,19,7,24,72,38,0.8421052631578947,0,6936
459,46,22,4,38,64,33,2.090909090909091,1,10982
460,101,25,6,20,106,20,4.04,1,5780
461,114,36,5,25,68,11,3.1666666666666665,1,7225
462,35,24,10,30,64,28,1.4583333333333333,0,8670
463,68,35,8,29,50,25,1.9428571428571428,0,8381
464,100,22,8,33,70,13,4.545454545454546,1,9537
465,16,16,6,37,79,21,1.0,0,10693
466,88,26,8,36,49,14,3.3846153846153846,1,10404
467,43,30,8,18,59,42,1.4333333333333333,0,5202
468,40,32,8,36,59,19,1.25,0,10404
469,29,30,7,19,40,33,0.9666666666666667,0,5491
470,33,29,8,33,102,39,1.1379310344827587,0,9537
471,28,19,4,38,90,13,1.4736842105263157,0,10982
472,67,25,5,20,61,38,2.68,1,5780
473,38,35,4,19,97,25,1.0857142857142856,0,5491
474,46,16,10,25,42,34,2.875,1,7225
475,67,39,3,20,109,23,1.7179487179487178,0,5780
476,38,39,3,30,107,27,0.9743589743589743,0,8670
477,33,24,7,39,63,32,1.375,0,11271
478,63,36,7,33,92,16,1.75,0,9537
479,23,40,9,39,59,45,0.575,0,11271
480,88,25,3,40,81,43,3.52,1,11560
481,111,20,10,22,86,16,5.55,1,6358
482,50,35,9,40,106,19,1.4285714285714286,0,11560
483,21,18,7,36,85,31,1.1666666666666667,0,10404
484,91,33,4,24,47,25,2.757575757575758,1,6936
485,54,30,10,39,60,27,1.8,0,11271
486,119,19,3,24,85,22,6.2631578947368425,1,6936
487,74,20,5,20,42,24,3.7,1,5780
488,89,15,6,22,72,25,5.933333333333334,1,6358
489,94,17,9,17,94,11,5.529411764705882,1,4913
490,96,39,5,37,84,27,2.4615384615384617,1,10693
491,81,26,8,38,68,27,3.1153846153846154,1,10982
492,22,40,5,36,84,11,0.55,0,10404
493,107,37,4,24,103,19,2.891891891891892,1,6936
494,36,26,3,37,61,45,1.3846153846153846,0,10693
495,55,17,7,36,44,30,3.235294117647059,1,10404
496,76,15,10,31,81,11,5.066666666666666,1,8959
497,22,35,4,20,91,15,0.6285714285714286,0,5780
498,55,33,5,32,63,21,1.6666666666666667,0,9248
499,112,32,8,40,99,11,3.5,1,11560
500,105,18,10,26,72,44,5.833333333333333,1,7514
501,21,28,6,30,63,25,0.75,0,8670
502,111,22,5,30,52,41,5.045454545454546,1,8670
503,67,21,4,27,79,35,3.1904761904761907,1,7803
504,63,26,3,20,109,12,2.423076923076923,1,5780
505,45,15,3,33,85,35,3.0,1,9537
506,22,25,6,20,58,23,0.88,0,5780
507,114,33,9,23,103,11,3.4545454545454546,1,6647
508,104,26,8,40,99,41,4.0,1,11560
509,76,27,5,26,52,13,2.814814814814815,1,7514
510,115,16,7,34,55,20,7.1875,1,9826
511,24,33,4,30,55,15,0.7272727272727273,0,8670
512,26,35,8,17,105,19,0.7428571428571429,0,4913
513,114,37,8,25,64,35,3.081081081081081,1,7225
514,72,21,4,29,44,20,3.4285714285714284,1,8381
515,91,39,8,23,51,15,2.3333333333333335,1,6647
516,114,39,6,37,85,26,2.923076923076923,1,10693
517,91,26,9,25,95,43,3.5,1,7225
518,31,17,7,26,60,10,1.8235294117647058,0,7514
519,73,34,3,22,106,39,2.1470588235294117,1,6358
520,67,34,4,26,94,11,1.9705882352941178,0,7514
521,78,34,3,22,100,24,2.2941176470588234,1,6358
522,71,25,4,29,91,16,2.84,1,8381
523,112,20,5,32,59,36,5.6,1,9248
524,86,30,7,33,104,16,2.8666666666666667,1,9537
